,about,age,"b""Adapts Well To Apartment Living","b""Affectionate With Family","b""Dog Friendly","b""Drooling Potential","b""Energy Level","b""Exercise Needs","b""General Health","b""Good For Novice Owners","b""Intelligence","b""Intensity","b""Kid-Friendly","b""Potential For Weight Gain","b""Prey Drive","b""Size","b""Tolerates Hot Weather","b""Wanderlust Potential",b'Amount Of Shedding,b'Easy To Groom,b'Easy To Train,b'Friendly Toward Strangers,b'Potential For Mouthiness,b'Potential For Playfulness,b'Sensitivity Level,b'Tendency To Bark Or Howl,b'Tolerates Being Alone,b'Tolerates Cold Weather,group,height,url,weight
10,"b'Small, smart, and energetic, the Alaskan Klee Kai is a relatively new breed that looks like a smaller version of the Siberian Husky. Even the name \xe2\x80\x9cKlee Kai\xe2\x80\x9d comes from an Inuit term meaning \xe2\x80\x9csmall dog.\xe2\x80\x9dWhile Alaskan Klee Kais may resemble larger Husky breeds, they have some key differences, especially when it comes to temperament, that distinguish it from its ancestor working class dogs of the north. This breed is more suited to the life of a companion; although, the Alaskan Klee Kai shares the high energy of the Husky and demands plenty of exercise.They also tend to be shy around strangers and are prone to expressing their emotions with whines and barks. An inexperienced pet parent would find it difficult to take on the challenge of caring for an Alaskan Klee Kai. But for an adopter who keeps up with training and physical activity, this breed is sweet, loyal, and happy to shower loved ones with affection.See below for full list of dog breed traits and facts about Alaskan Klee Kais!Alaskan Klee Kai Dog Breed Pictures Alaskan Klee Kai Dog Breed Information & Pictures \xe2\x80\x93 DogtimeInitiate Gallery'",12 to 16 years',3,4,2,2,4,4,4,2,4,2,3,2,5,2,2,4,4,4,4,2,2,4,4,3,2,5,Companion Dogs',13 to 17 inches',https://dogtime.com/dog-breeds/alaskan-klee-kai,10 to 15 pounds'
11,"b'The Alaskan Malamute features a powerful, sturdy body built for stamina and strength. It reigns as one of the oldest dog breeds whose original looks have not been significantly altered. This intelligent canine needs a job and consistent leadership to avoid becoming bored or challenging to handle.Novice pet parents, beware. Dogs of this breed are sensitive and need plenty of companionship and open space. They are not well-suited to apartment life, and they are certainly high-shedding pooches who need plenty of grooming to keep their coats healthy. Expect to clean up dog hair all year long, and especially during shedding season.Alaskan Malamutes are high-energy dogs, and therefore require vigorous exercise. If you plan to leave them home while you\xe2\x80\x99re at work, you may see some anxious, destructive behavior. A dog walker or pet sitter during the day is practically a must if you can\xe2\x80\x99t be home, yourself.An Alaskan Malamute will do well with an experienced pet parent, lots of open space to roam and burn off energy, and a cooler climate. If you can meet this breed\xe2\x80\x99s needs, you\xe2\x80\x99ll have an intelligent, highly-trainable, loving companion for life.See all Alaskan Malamute characteristics below!Alaskan Malamute Dog Breed Pictures Alaskan Malamute Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",12 to 15 years',1,4,2,1,5,5,4,1,4,5,3,3,4,4,2,5,5,1,4,5,3,5,4,5,1,5,Working Dogs',"1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder'",https://dogtime.com/dog-breeds/alaskan-malamute,75 to 100 pounds'
12,"b'The American Bulldog is stocky and muscular, but also agile and built for chasing down stray cattle and helping with farm work. In fact, some are known to jump six feet or more into the air.American Bulldogs are intelligent and affectionate, which makes them great, protective family dogs; although, they have high exercise needs and require an experienced, active pet parent. They can vary in appearance, as there are multiple types, including the\xc2\xa0Bully or Classic type, also known as the Johnson type, the Standard or Performance type, also called the Scott type, and\xc2\xa0hybrids of the two.With patient training and care, American Bulldogs can make loving family companions. If you\xe2\x80\x99re looking for a loving, energetic best buddy, then this may be the dog for you!See below for full list of dog breed traits and facts about American Bulldogs!American Bulldog Breed Pictures American Bulldog Breed Information & Pictures \xe2\x80\x93 DogtimeInitiate Gallery'",10 to 16 years',1,5,2,4,4,4,3,1,3,4,4,2,4,4,2,3,1,4,4,2,2,4,4,2,1,2,Working Dogs',20 to 28 inches',https://dogtime.com/dog-breeds/american-bulldog,60 to 120 pounds'
13,"b'A descendent of the English Foxhound, the American English Coonhoound is a hunting dog breed\xc2\xa0known for their speed, endurance, and loud voice in the field. The\xe2\x80\x99ll bark and bay at home, too, making them a poor choice if you\xe2\x80\x99ve got nearby neighbors. They need lots of exercise.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember to\xc2\xa0adopt! Don\xe2\x80\x99t shop if you want to bring a dog home.These dogs are loving, intelligent, easy to train, and fairly easy to groom. However, novice pet parents should beware. They also need firm, consistent training and lots of mental and physical activity. If you can\xe2\x80\x99t keep up with seemingly endless walks and play sessions, you may want to consider a less energetic breed. But if you can provide the exercise they need, a very secure yard for them to roam, and patient training, you\xe2\x80\x99ll have an adoring furry family member.See below for complete list of American English Coonhound characteristics!American English Coonhound Dog Breed Pictures American English Coonhound Dog Breed Information, Pictures, Characteristics & Facts \xe2\x80\x93 DogtimeInitiate Gallery'",,1,5,4,1,5,5,4,2,4,5,5,3,5,3,4,5,3,5,5,5,3,5,5,5,2,4,,,https://dogtime.com/dog-breeds/american-english-coonhound,
14,"b'Called \xe2\x80\x9cthe dog beautiful\xe2\x80\x9d by admirers, the American Eskimo Dog, or \xe2\x80\x9cEskie,\xe2\x80\x9d is a striking canine with their white coat, sweet expression, and black eyes. They\xe2\x80\x99re a Nordic dog breed, a member of the Spitz family.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember to\xc2\xa0adopt! Don\xe2\x80\x99t shop if you want to bring a dog home.Eskies are lively, active companion dogs who love to entertain and join in on all family activities. They\xe2\x80\x99re outgoing and friendly with family and friends, but reserved with strangers. Although the Eskie is a small dog \xe2\x80\x94 10 to 30 pounds \xe2\x80\x94 they have a big-dog attitude.See below for complete list of dog breed traits and facts about American Eskimo Dogs!American Eskimo Dog Breed Pictures American Eskimo Dog Breed Information, Pictures, Characteristics & Facts \xe2\x80\x93 DogTimeInitiate Gallery'",12 to 15 years',5,5,5,1,5,4,5,4,4,3,5,4,3,2,3,3,5,3,5,4,3,5,4,4,2,5,Companion Dogs',15 to 19 inches tall at the shoulder',https://dogtime.com/dog-breeds/american-eskimo-dog,Starts at 30 pounds'
15,"b'Easygoing, sweet, kind, and loyal, the American Foxhound dog breed belongs to a way of life that has continued for more than two centuries, but they have the potential to be a modern-day companion as well.Although they\xe2\x80\x99re purebred dogs, you may find American Foxhounds in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible!The American Foxhound\xe2\x80\x99s stamina and love of running make them great jogging partners for athletic pet parents, and their mild nature makes them excellent family dogs, so long as they get the exercise they crave. Although they\xe2\x80\x99re low maintenance and affectionate pets, apartment dwellers and novice owners should beware. This breed\xe2\x80\x99s energy and intensity mean that they need plenty of space to run and a commitment to lots of active play time.DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized American Foxhound.\xc2\xa0You should also pick up this dog water bottle for any outdoor adventures you have with your pup!See below for a complete list of dog breed traits and facts about American Foxhounds!American Foxhound Dog Breed Pictures American Foxhound Dog Breed Information, Pictures, Characteristics & Facts - DogTimeInitiate Gallery'",12 to 13 years',1,4,5,1,5,5,5,2,3,4,5,5,4,3,4,5,3,5,2,4,3,5,2,5,1,4,Hound Dogs',21 to 25 inches tall at the shoulder',https://dogtime.com/dog-breeds/american-foxhound,40 to 60 pounds'
16,"b'The American Hairless Terrier is the only hairless dog breed indigenous to the United States, and the breed\xe2\x80\x99s creation was something of a happy accident. Today, the breed is known as an active companion dog and an especially great choice for allergy sufferers.Some fans of the new breed abbreviate the name to AHT, while some refer to them as hairless Rat Terriers.\xc2\xa0Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Don\xe2\x80\x99t shop if this is the breed for you.Like all terriers, the American Hairless Terrier is a curious, spunky, and intelligent dog breed. They can thrive in larger family homes with kids or with active urban dwellers in apartments or condos. If you\xe2\x80\x99re looking for a small dog who enjoys snuggling, being a goof, and alerting you to potential dangers, the American Hairless Terrier just might be the dog for you!DogTime recommends this carrier for traveling with your small American Hairless Terrier.\xc2\xa0You should also pick up this interactive puzzle toy to keep your pup active indoors!See below for complete list of dog breed traits and facts about American Hairless Terriers!American Hairless Terrier Dog Breed Pictures American Hairless Terrier Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",13 to 16 years',4,4,3,1,4,3,4,3,4,3,4,4,4,2,3,3,1,5,3,3,3,5,3,3,2,1,Terrier Dogs',12 to 16 inches',https://dogtime.com/dog-breeds/american-hairless-terrier,10 to 16 pounds'
17,"b'The American Leopard Hound is a purebred dog whose ancestors came from Mexico by way of Spanish conquistadors who sailed to North America. They are energetic, sociable, and intelligent pooches who possess all-around great traits.The American Leopard Hound goes by other names, such as the Leopard Cur, American Leopard, and American Leopard Cur. You can look for this pure breed by checking your local shelters or rescues. Remember it\xe2\x80\x99s best to adopt and not shop!These sweet pups are natural hunting dogs and have very high energy. That means they do best in homes with big yards to run around in. They\xe2\x80\x99re able to bond strongly with humans, which makes them well-suited for households of all types, from single pet parents to families with children. If you want an energetic dog who loves to run and keep you on your toes, alerts you to any dangers, and adores you completely, then this may be the right dog breed for you!See below for all dog breed traits and facts about American Leopard Hounds!American Leopard Hound Dog Breed Picture (Picture Credit: posted with permission from @auroratheleopardcur on Instagram)'",12 to 15 years.',2,5,4,2,4,4,4,4,4,3,4,2,4,4,4,4,2,4,4,3,3,4,3,4,3,4,Hound Dogs',21 to 27 Inches.',https://dogtime.com/dog-breeds/american-leopard-hound,35 to 75 pounds.'
18,"b'The American Pit Bull Terrier is a companion and family dog breed. Originally bred to \xe2\x80\x9cbait\xe2\x80\x9d bulls, the breed evolved into all-around farm dogs, and later moved into the house to become \xe2\x80\x9cnanny dogs\xe2\x80\x9d because they were so gentle around children.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember to\xc2\xa0adopt! Don\xe2\x80\x99t shop if you want to bring a dog home.Their tenacity, gameness, and courage make them popular competitors in the sports of weight pulling, agility, and obedience. Of course, you can also find them living as companions, showering their humans with love and affection.DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized Pit Bull.\xc2\xa0You should also pick up this dog fetch toy to help burn off your pup\xe2\x80\x99s high energy!See below for a complete list of dog breed traits and facts about American Pit Bull Terriers!American Pit Bull Terrier Dog Breed Pictures American Pit Bull Terrier Dog Breed Information, Pictures, Characteristics & Facts - DogTimeInitiate Gallery'",12 to 16 years',3,5,1,1,4,4,4,2,4,5,5,3,3,3,3,4,4,5,4,5,5,5,4,3,1,2,Terrier Dogs',17 to 19 inches tall at the shoulder',https://dogtime.com/dog-breeds/american-pit-bull-terrier,30 to 85 pounds'
19,"b'The American Pugabull is a mixed breed dog \xe2\x80\x94 a cross between the American Bull Dog and Pug dog breeds. Medium in size, alert, and loyal, these pups inherited some of the best qualities from both of their parents.American Pugabulls are also called Bull Pugs. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues, so remember to adopt! Don\xe2\x80\x99t shop!These adorable pups fit in nicely with big families and also make great apartment dogs for active urban dwellers They\xe2\x80\x99re loyal and playful yet very protective \xe2\x80\x94 if you\xe2\x80\x99re a family member, this pup will not hesitate to protect you. They will alert to any suspicious characters who approach your door. They will also alert you to any non suspicious characters. Socialize them early with people and animals. Read on and find out if the American Pugabull is the right dog for you!See below for all American Pugabull facts and mixed dog breed characteristics!American Pugabull Mixed Dog Breed Picture (Picture Credit: posted with permission from All Breed Canine Rescue)'",12 to 14 years',3,5,3,3,4,3,2,3,3,4,4,3,4,3,3,2,3,4,3,3,2,5,4,4,1,2,Mixed Breed Dogs',12 to 20 inches',https://dogtime.com/dog-breeds/american-pugabull,25 to 70 pounds'
20,"b'The American Staffordshire Terrier is a muscular breed known for being strong for its size; however, they\xe2\x80\x99re also loving and affectionate with human family members. American Staffordshire Terriers enjoy nothing more than being with the humans they care about, whether they\xe2\x80\x99re out for a jog, playing in the yard, or cuddling up on the couch.They are intelligent and eager to please, which makes them highly trainable; although, that intelligence means they need mental stimulation. If they don\xe2\x80\x99t get it, they\xe2\x80\x99ll put those strong jaws to use and chew anything out of boredom. American Staffordshire Terriers can also use their strength to pull dog walkers along with ease wherever they want to go if they aren\xe2\x80\x99t trained properly. This means they need a strong, confident trainer who will set boundaries without being overly harsh.Socialization is also important to help the breed overcome its natural standoffish tendencies when it comes to other animals. This breed loves having a job to do, and they do well in athletic competitions, police work, and obedience training. With proper training, the American Staffordshire Terrier can be a loyal cuddle bug and family companion, as well as a competent working dog.See below for full list of dog breed traits and facts about American Staffordshire Terriers!American Staffordshire Terrier Dog Breed Pictures American Staffordshire Terrier Breed Information & Pictures \xe2\x80\x93 DogtimeInitiate Gallery'",10 to 15 years',2,4,2,3,3,3,3,2,4,5,4,2,3,3,3,3,2,4,4,4,5,4,3,4,2,2,Terrier Dogs',16 to 19 inches',https://dogtime.com/dog-breeds/american-staffordshire-terrier,40 to 60 pounds'
21,"b'The American Water Spaniel was bred to be an all-around hunting dog. Specializing in waterfowl, these skilled swimmers will happily retrieve from small boats, protected by their water-resistant double coats.This\xc2\xa0breed has the high energy of a dog born to chase and retrieve game, but given enough exercise, they can also make great family companions. If you can keep up and provide plenty of space to run, then this may be the breed for you!DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized American Water Spaniel.\xc2\xa0You should also pick up this dog fetch toy to help burn off your pup\xe2\x80\x99s high energy!See all dog breed traits and facts about American Water Spaniels below!American Water Spaniel Dog Breed Pictures American Water Spaniel Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",12 to 15 years',2,5,2,1,5,5,3,2,3,2,5,3,2,3,4,5,3,3,4,3,5,5,5,3,1,2,Sporting Dogs',"1 foot, 3 inches to 1 foot, 6 inches tall at the shoulder'",https://dogtime.com/dog-breeds/american-water-spaniel,25 to 45 pounds'
